	CD14-positive, CD16-negative classical monocyte	CD3-positive, CD4-positive, CD8-positive, double positive thymocyte	CD34-, CD41+, CD42+ megakaryocyte cell	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	CD38-negative naive B cell	CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta thymocyte	CD8-positive, alpha-beta T cell	CD8-positive, alpha-beta thymocyte	alternatively activated macrophage	central memory CD4-positive, alpha-beta T cell	central memory CD8-positive, alpha-beta T cell	class switched memory B cell	common lymphoid progenitor	common myeloid progenitor	conventional dendritic cell	cytotoxic CD56-dim natural killer cell	effector memory CD4-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	endothelial cell of umbilical vein (proliferating)	endothelial cell of umbilical vein (resting)	erythroblast	granulocyte monocyte progenitor cell	hematopoietic multipotent progenitor cell	hematopoietic stem cell	inflammatory macrophage	macrophage	mature eosinophil	mature neutrophil	megakaryocyte-erythroid progenitor cell	memory B cell	neutrophilic metamyelocyte	plasma cell	regulatory T cell	segmented neutrophil of bone marrow
BCL2	3.0	57.0	0.8	2.0	30.0	138.0	138.0	34.0	73.0	8.0	102.0	26.0	23.0	2.0	5.0	21.0	13.0	67.0	34.0	5.0	2.0	2.0	2.0	3.0	0.5	9.0	10.0	5.0	0.5	5.0	40.0	0.8	1.0	57.0	2.0
NR3C1	54.0	70.0	12.0	19.0	30.0	45.0	93.0	26.0	55.0	33.0	42.0	23.0	16.0	49.0	31.0	67.0	46.0	31.0	36.0	17.0	20.0	46.0	55.0	37.0	65.0	41.0	46.0	42.0	58.0	25.0	21.0	54.0	10.0	26.0	89.0
